
 Complain Area: Food Quality,  Complain Text: very bad taste
 Complain Area: Food Quality,  Complain Text: very bad taste
 Complain Area: Food Quality,  Complain Text: very bad taste
 Complain Area: Delivery,  Complain Text: very slow delivery
 Complain Area: Food Quality,  Complain Text: yes
 Complain Area: Food Quality,  Complain Text: yes
 Complain Area: Food Quality,  Complain Text: i want to complaint
 Complain Area: Food Quality,  Complain Text: fine
 Complain Area: Food Quality,  Complain Text: very slow delivery
 Complain Area: Food Quality,  Complain Text: I want to complain
 Complain Area: Food Quality,  Complain Text: I want to complain
 Complain Area: Food Quality,  Complain Text: !!!!!!!!!!!!Nasty food
